职位名称,链接,薪资,地区,学历要求,工作经验要求
商业数据分析专家,https://www.liepin.com/a/11425525.shtml,50-70万,杭州,统招本科,1年以上
库存大数据分析管理专员,https://www.liepin.com/job/1915076872.shtml,4-6万,台州,统招本科,经验不限
商品/数据分析专员,https://www.liepin.com/job/197421150.shtml,4-6万,浙江省,大专及以上,1年以上
大数据分析师,https://www.liepin.com/job/1913265122.shtml,6-12万,浙江省,统招本科,3年以上
数据分析专家,https://www.liepin.com/a/11934111.shtml,50-80万,"杭州,北京,深圳",统招本科,3年以上
数据分析,https://www.liepin.com/a/11891325.shtml,50-80万,"杭州,北京",学历不限,3年以上
数据分析师,https://www.liepin.com/job/1915482900.shtml,18-19万,杭州,大专及以上,3年以上
计划专员 （偏数据分析）,https://www.liepin.com/job/1914121359.shtml,8-17万,杭州-滨江区,统招本科,1年以上
数据分析,https://www.liepin.com/job/1913521904.shtml,4-6万,台州,统招本科,经验不限
数据分析师,https://www.liepin.com/job/1913522245.shtml,4-6万,台州,统招本科,经验不限
数据分析/风险策略/反欺诈分析,https://www.liepin.com/a/11932009.shtml,80-110万,"深圳,杭州,北京",学历不限,3年以上
数据统计/合同管理,https://www.liepin.com/job/1914938471.shtml,7-10万,浙江省,大专及以上,3年以上
国际-资深数据分析专家,https://www.liepin.com/a/11312372.shtml,60-90万,"杭州,北京",统招本科,5年以上
数据分析专家,https://www.liepin.com/a/11918940.shtml,40-70万,"北京,杭州",本科及以上,3年以上
工业大数据分析师,https://www.liepin.com/job/1913587863.shtml,24-36万,宁波,本科及以上,3年以上
大数据BI分析师,https://www.liepin.com/job/1915627383.shtml,24-54万,杭州,本科及以上,3年以上
资深数据分析师/数据分析专家,https://www.liepin.com/job/1914893801.shtml,面议,杭州,统招本科,3年以上
安全数据分析员,https://www.liepin.com/job/1915561486.shtml,面议,杭州-滨江区,本科及以上,3年以上
数据分析/财务分析,https://www.liepin.com/job/1913274682.shtml,6-12万,杭州,本科及以上,1年以上
智能数据分析算法工程师(000958),https://www.liepin.com/job/1915581966.shtml,面议,杭州-余杭区,硕士及以上,4年以上
数据分析师,https://www.liepin.com/job/1915568582.shtml,15-30万,杭州,统招本科,3年以上
数据分析工程师,https://www.liepin.com/job/1914779844.shtml,24-48万,杭州-宁围,统招本科,2年以上
高级数据分析师,https://www.liepin.com/a/10889116.shtml,30-60万,"上海,北京,杭州",统招本科,3年以上
资深数据分析师,https://www.liepin.com/a/11019721.shtml,50-80万,"上海,杭州,北京",统招本科,3年以上
数据分析师,https://www.liepin.com/a/10903470.shtml,20-30万,"上海,北京,杭州",统招本科,2年以上
商业数据分析专家,https://www.liepin.com/a/11342177.shtml,50-80万,"上海,北京,杭州",本科及以上,5年以上
数据分析高级经理,https://www.liepin.com/a/11989666.shtml,50-80万,"北京,上海,杭州",本科及以上,5年以上
高级数据分析经理,https://www.liepin.com/a/11237079.shtml,80-110万,"北京,上海,杭州",统招本科,5年以上
数据分析,https://www.liepin.com/a/9398634.shtml,40-70万,"上海,杭州,北京",学历不限,5年以上
商业决策分析专家（数据分析）,https://www.liepin.com/a/11535324.shtml,40-70万,"杭州,上海,深圳",本科及以上,4年以上
游戏数据分析师,https://www.liepin.com/a/11910938.shtml,20-40万,"上海,广州,杭州",学历不限,2年以上
数据分析专家,https://www.liepin.com/a/11298932.shtml,45-75万,"杭州,上海",本科及以上,5年以上
数据分析专家,https://www.liepin.com/a/11874913.shtml,45-75万,"北京,上海,杭州",统招本科,3年以上
数据分析经理（EC）,https://www.liepin.com/a/11294370.shtml,20-30万,"上海,杭州,广州",学历不限,5年以上
资深数据分析师,https://www.liepin.com/a/11205802.shtml,30-40万,"上海,杭州,苏州",学历不限,3年以上
数据分析/商业分析,https://www.liepin.com/a/10239329.shtml,30-60万,"北京,上海,杭州",本科及以上,3年以上
数据分析师/数据分析员/数据分析,https://www.liepin.com/a/11861778.shtml,30-50万,"上海,杭州,北京",统招本科,3年以上
风险大数据分析-风控专家,https://www.liepin.com/a/11854143.shtml,30-50万,"上海,杭州",本科及以上,3年以上
数据分析经理/分析师,https://www.liepin.com/a/10750769.shtml,30-60万,"北京,上海,杭州",统招本科,3年以上
数据分析师,https://www.liepin.com/a/10622643.shtml,20-30万,"上海,杭州",本科及以上,2年以上
数据分析师,https://www.liepin.com/a/11827796.shtml,40-70万,"上海,杭州,北京",本科及以上,5年以上
数据-数据分析-业务分析,https://www.liepin.com/a/10603712.shtml,50-79万,"上海,杭州,北京",本科及以上,5年以上
BI数据分析经理/高级经理,https://www.liepin.com/a/11804408.shtml,25-55万,"上海,杭州",统招本科,3年以上
数据分析高级经理,https://www.liepin.com/a/11194119.shtml,20-30万,"杭州,北京,上海",大专及以上,5年以上
高级数据分析专家,https://www.liepin.com/a/11729159.shtml,40-70万,"杭州,上海,深圳",本科及以上,3年以上
数据分析师,https://www.liepin.com/a/11596883.shtml,30-50万,"上海,杭州,南京",统招本科,3年以上
数据分析总监,https://www.liepin.com/a/11667333.shtml,70-100万,"北京,上海,杭州",统招本科,3年以上
资深数据开发工程师（互联网分析）,https://www.liepin.com/a/11551676.shtml,40-60万,"上海,杭州,北京",本科及以上,3年以上
数据分析专家,https://www.liepin.com/a/11020774.shtml,50-80万,"杭州,上海,深圳",统招本科,3年以上
数据分析专家,https://www.liepin.com/a/11549161.shtml,50-80万,"杭州,上海,深圳",学历不限,5年以上
数据分析专家（BI决策支持）,https://www.liepin.com/a/11976284.shtml,50-80万,"杭州,北京",学历不限,5年以上
数据分析专家（行业分析）,https://www.liepin.com/a/11932366.shtml,30-60万,"北京,杭州,广州",本科及以上,3年以上
高级大数据分析,https://www.liepin.com/a/11878191.shtml,35-65万,"北京,深圳,杭州",统招本科,4年以上
数据分析专家（BI）,https://www.liepin.com/a/11777568.shtml,40-70万,"北京,杭州",统招本科,3年以上
游戏数据分析,https://www.liepin.com/a/11752743.shtml,40-70万,"深圳,杭州,北京",统招本科,5年以上
数据分析岗（物流行业）,https://www.liepin.com/job/1915231614.shtml,6-12万,杭州-萧山区,大专及以上,3年以上
稽核数据分析岗（非销售）,https://www.liepin.com/job/1915219770.shtml,10-12万,杭州,本科及以上,1年以上
资深数据分析师,https://www.liepin.com/job/1915213751.shtml,18-30万,杭州,大专及以上,3年以上
商品数据分析,https://www.liepin.com/job/1915200937.shtml,12-18万,杭州-西兴,大专及以上,经验不限
数据分析师,https://www.liepin.com/job/1915198151.shtml,11-20万,杭州-滨江区,本科及以上,2年以上
数据分析(智能中心),https://www.liepin.com/job/1915172512.shtml,14-30万,杭州-近江,本科及以上,3年以上
淘宝天猫客户体验-数据分析专家-商家服务,https://www.liepin.com/job/1915171784.shtml,面议,杭州,本科及以上,4年以上
00037-资深数据分析师/数据分析专家,https://www.liepin.com/job/1915160449.shtml,36-72万,杭州-滨江区,本科及以上,5年以上
供应链项目管理（数据分析方向）-跨境电商051,https://www.liepin.com/job/1915157158.shtml,20-30万,杭州,学历不限,5年以上
资深数据分析师,https://www.liepin.com/job/1915147576.shtml,22-30万,杭州,统招本科,3年以上
数据分析师,https://www.liepin.com/job/1915149318.shtml,面议,杭州,本科及以上,经验不限
高级数据分析师,https://www.liepin.com/job/1915146740.shtml,面议,杭州-滨江区,本科及以上,3年以上
JMP_Big Data Analysis_Power Tool/ 博世初级经理人计划_大数据分析_电动工具,https://www.liepin.com/job/1915122761.shtml,15-24万,杭州-滨江区,硕士及以上,经验不限
数据分析经理,https://www.liepin.com/job/1915098495.shtml,12-24万,杭州,大专及以上,1年以上
高级数据分析师,https://www.liepin.com/job/1914910664.shtml,24-48万,杭州,本科及以上,3年以上
数据分析师(J10063),https://www.liepin.com/job/1915062939.shtml,7-14万,杭州,本科及以上,1年以上
淘宝-新制造-数据分析专家,https://www.liepin.com/job/1915054695.shtml,面议,杭州,本科及以上,5年以上
数据分析（初级）,https://www.liepin.com/job/1915046562.shtml,5-10万,杭州-三墩,大专及以上,经验不限
运维数据分析岗,https://www.liepin.com/job/1915031711.shtml,面议,杭州,统招本科,3年以上
数据分析专员,https://www.liepin.com/job/1915022981.shtml,5-6万,杭州-江干区,大专及以上,经验不限
天猫产品部-数据分析高级专家,https://www.liepin.com/job/1915016434.shtml,面议,杭州,本科及以上,5年以上
XT-数据分析工程师,https://www.liepin.com/job/1915002309.shtml,12-18万,杭州-西兴,统招本科,3年以上
数据分析专家,https://www.liepin.com/job/1914982706.shtml,30-48万,杭州-仓前,本科及以上,5年以上
数据分析专员,https://www.liepin.com/job/1914974654.shtml,7-10万,杭州-米市巷,大专及以上,1年以上
资深数据分析师/数据分析专家,https://www.liepin.com/job/1914972655.shtml,38-53万,杭州-三墩,本科及以上,5年以上
数据分析师（客户运营）,https://www.liepin.com/job/1914960536.shtml,14-35万,杭州,本科及以上,4年以上
BI工程师/数据分析工程师,https://www.liepin.com/job/1913226768.shtml,面议,杭州-城东,大专及以上,2年以上
数据统计分析,https://www.liepin.com/job/1914954717.shtml,5-10万,杭州,本科及以上,1年以上
数据分析专家-杭州-00960,https://www.liepin.com/job/1914933103.shtml,18-36万,杭州-仓前,硕士及以上,3年以上
销售数据分析师(杭州),https://www.liepin.com/job/198370762.shtml,11-14万,杭州-笕桥,统招本科,1年以上
数据分析,https://www.liepin.com/job/195555522.shtml,6-7万,杭州,大专及以上,1年以上
数据分析师,https://www.liepin.com/job/1914909754.shtml,5-10万,杭州-上城区,学历不限,经验不限
高级数据分析师,https://www.liepin.com/job/1914487324.shtml,12-24万,杭州-建设二路,硕士及以上,2年以上
数据分析专员,https://www.liepin.com/job/1914493443.shtml,5-8万,杭州,大专及以上,1年以上
资深数据分析,https://www.liepin.com/job/1914393640.shtml,21-35万,杭州,统招本科,2年以上
产品数据分析,https://www.liepin.com/job/1914324077.shtml,7-10万,杭州-南星,统招本科,2年以上
数据分析师,https://www.liepin.com/rpojob/20989/,10-30万,杭州,本科,1年以上
数据分析师（证券交易产品）,https://www.liepin.com/job/1914266614.shtml,12-18万,杭州,本科及以上,1年以上
数据分析-专车,https://www.liepin.com/job/1914200315.shtml,7-12万,杭州,本科及以上,1年以上
数据分析师/专家（P6-P8）,https://www.liepin.com/job/1914190131.shtml,48-84万,杭州-滨江区,统招本科,3年以上
大数据BI分析师,https://www.liepin.com/job/1915627383.shtml,24-54万,杭州,本科及以上,3年以上
资深数据分析师/数据分析专家,https://www.liepin.com/job/1914893801.shtml,面议,杭州,统招本科,3年以上
智能服务事业部-数据分析专家-数据智能,https://www.liepin.com/job/1915622146.shtml,面议,杭州,本科及以上,5年以上
安全数据分析员,https://www.liepin.com/job/1915561486.shtml,面议,杭州-滨江区,本科及以上,3年以上
网络规划主管/选址拓展主管(数据分析）,https://www.liepin.com/job/199444093.shtml,10-12万,杭州-东新路,本科及以上,经验不限
数据分析/财务分析,https://www.liepin.com/job/1913274682.shtml,6-12万,杭州,本科及以上,1年以上
智能数据分析算法工程师(000958),https://www.liepin.com/job/1915581966.shtml,面议,杭州-余杭区,硕士及以上,4年以上
高级数据分析师,https://www.liepin.com/a/10889116.shtml,30-60万,"上海,北京,杭州",统招本科,3年以上
资深数据分析师,https://www.liepin.com/a/11019721.shtml,50-80万,"上海,杭州,北京",统招本科,3年以上
数据分析专家,https://www.liepin.com/a/12028187.shtml,80-100万,"上海,北京,杭州",学历不限,3年以上
数据分析师,https://www.liepin.com/a/10903470.shtml,20-30万,"上海,北京,杭州",统招本科,2年以上
商业数据分析专家,https://www.liepin.com/a/11342177.shtml,50-80万,"上海,北京,杭州",本科及以上,5年以上
BI数据分析专家,https://www.liepin.com/a/11327912.shtml,50-70万,"上海,北京,杭州",本科及以上,5年以上
数据分析高级经理,https://www.liepin.com/a/11989666.shtml,50-80万,"北京,上海,杭州",本科及以上,5年以上
高级数据分析经理,https://www.liepin.com/a/11237079.shtml,80-110万,"北京,上海,杭州",统招本科,5年以上
数据分析专家（BI）,https://www.liepin.com/a/11364484.shtml,40-70万,"杭州,上海",统招本科,5年以上
合规数据分析专家,https://www.liepin.com/a/11957305.shtml,60-90万,"北京,杭州,上海",学历不限,3年以上
高级数据分析师,https://www.liepin.com/a/11955702.shtml,60-90万,"上海,杭州,北京",统招本科,5年以上
数据分析工程师,https://www.liepin.com/a/11922950.shtml,20-50万,"北京,上海,杭州",学历不限,2年以上
数据分析,https://www.liepin.com/a/9398634.shtml,40-70万,"上海,杭州,北京",学历不限,5年以上
商业决策分析专家（数据分析）,https://www.liepin.com/a/11535324.shtml,40-70万,"杭州,上海,深圳",本科及以上,4年以上
游戏数据分析师,https://www.liepin.com/a/11910938.shtml,20-40万,"上海,广州,杭州",学历不限,2年以上
数据分析专家,https://www.liepin.com/a/11298932.shtml,45-75万,"杭州,上海",本科及以上,5年以上
个人客户大数据分析师,https://www.liepin.com/a/11889872.shtml,25-40万,"上海,深圳,杭州",统招本科,2年以上
数据分析专家,https://www.liepin.com/a/11874913.shtml,45-75万,"北京,上海,杭州",统招本科,3年以上
数据分析经理（EC）,https://www.liepin.com/a/11294370.shtml,20-30万,"上海,杭州,广州",学历不限,5年以上
资深数据分析师,https://www.liepin.com/a/11205802.shtml,30-40万,"上海,杭州,苏州",学历不限,3年以上
数据分析/商业分析,https://www.liepin.com/a/10239329.shtml,30-60万,"北京,上海,杭州",本科及以上,3年以上
数据分析师/数据分析员/数据分析,https://www.liepin.com/a/11861778.shtml,30-50万,"上海,杭州,北京",统招本科,3年以上
风险大数据分析-风控专家,https://www.liepin.com/a/11854143.shtml,30-50万,"上海,杭州",本科及以上,3年以上
数据分析经理/分析师,https://www.liepin.com/a/10750769.shtml,30-60万,"北京,上海,杭州",统招本科,3年以上
数据分析师,https://www.liepin.com/a/10622643.shtml,20-30万,"上海,杭州",本科及以上,2年以上
数据分析师,https://www.liepin.com/a/11827796.shtml,40-70万,"上海,杭州,北京",本科及以上,5年以上
高级数据分析师,https://www.liepin.com/a/11228544.shtml,40-70万,"上海,杭州",统招本科,2年以上
数据-数据分析-业务分析,https://www.liepin.com/a/10603712.shtml,50-79万,"上海,杭州,北京",本科及以上,5年以上
BI数据分析经理/高级经理,https://www.liepin.com/a/11804408.shtml,25-55万,"上海,杭州",统招本科,3年以上
数据分析高级经理,https://www.liepin.com/a/11194119.shtml,20-30万,"杭州,北京,上海",大专及以上,5年以上
数据分析专家,https://www.liepin.com/a/11185685.shtml,30-60万,"上海,杭州",统招本科,2年以上
数据分析,https://www.liepin.com/a/11751720.shtml,20-50万,"杭州,北京,上海",本科及以上,3年以上
高级数据分析专家,https://www.liepin.com/a/11729159.shtml,40-70万,"杭州,上海,深圳",本科及以上,3年以上
数据分析工程师,https://www.liepin.com/a/11699259.shtml,20-25万,杭州,学历不限,1年以上
数据分析师,https://www.liepin.com/a/11685893.shtml,15-25万,"宁波,杭州,慈溪",学历不限,5年以上
数据分析师-用户数据方向,https://www.liepin.com/a/11685902.shtml,15-25万,"宁波,杭州,慈溪",学历不限,3年以上
数据分析师,https://www.liepin.com/a/11685895.shtml,15-25万,"宁波,杭州,慈溪",学历不限,5年以上
成本数据分析师（成本会计）,https://www.liepin.com/a/11682670.shtml,13-23万,杭州,本科及以上,3年以上
数据分析师,https://www.liepin.com/a/11570801.shtml,20-30万,杭州,本科及以上,2年以上
数据统计岗位（温州）,https://www.liepin.com/job/1913346270.shtml,6-7万,温州,统招本科,1年以上
数据统计分析岗,https://www.liepin.com/job/1915253239.shtml,面议,宁波,统招本科,3年以上
数据分析工程师,https://www.liepin.com/job/1911349379.shtml,7-10万,宁波-洪塘,本科及以上,1年以上
数据分析岗,https://www.liepin.com/job/199437692.shtml,6-12万,台州,本科及以上,经验不限
数据分析/现场调度,https://www.liepin.com/job/1915153270.shtml,5-6万,衢州,大专及以上,1年以上
数据分析师,https://www.liepin.com/a/11551907.shtml,14-20万,宁波,统招本科,5年以上
风险数据分析师,https://www.liepin.com/cjob/850850.shtml,24-25万,杭州-余杭区,硕士,3年经验
数据分析经理,https://www.liepin.com/cjob/874699.shtml,24-36万,杭州,本科,3年经验
数据分析师,https://www.liepin.com/cjob/812972.shtml,12-20万,杭州-拱墅区,本科,3年经验
数据分析师,https://www.liepin.com/cjob/813725.shtml,25-35万,杭州,硕士,3年经验
数据分析师,https://www.liepin.com/cjob/820946.shtml,18-30万,杭州-余杭区,本科,3年经验
用户研究专家,https://www.liepin.com/a/11917926.shtml,50-80万,"上海,杭州,北京",统招本科,5年以上
数据科学家-互金科技,https://www.liepin.com/a/11250279.shtml,60-90万,"杭州,上海,北京",统招本科,3年以上
数据科学家,https://www.liepin.com/a/11875005.shtml,45-75万,"北京,杭州,上海",统招本科,3年以上
BI专家,https://www.liepin.com/a/10133474.shtml,30-60万,"北京,上海,杭州",本科及以上,3年以上
CRM产品专家,https://www.liepin.com/a/11166116.shtml,40-70万,"杭州,上海,北京",本科及以上,5年以上
数据挖掘工程师,https://www.liepin.com/a/11983208.shtml,30-60万,"杭州,北京,上海",统招本科,3年以上
产品经理（商业数据）,https://www.liepin.com/a/11539769.shtml,50-70万,"杭州,上海",本科及以上,3年以上
数据挖掘工程师,https://www.liepin.com/a/10940395.shtml,30-50万,"北京,杭州,上海",统招本科,2年以上
数据仓库开发工程师,https://www.liepin.com/a/11505230.shtml,25-50万,"上海,杭州,北京",统招本科,3年以上
大数据风控总监,https://www.liepin.com/a/12042612.shtml,120-150万,"上海,杭州,北京",学历不限,8年以上
用户研究,https://www.liepin.com/a/11615061.shtml,30-60万,"杭州,上海",统招本科,5年以上
数据产品经理/数据产品专家,https://www.liepin.com/a/12017367.shtml,50-80万,"北京,上海,杭州",本科及以上,5年以上
产品专家 (财务核算）,https://www.liepin.com/a/10396415.shtml,60-80万,"北京,上海,杭州",学历不限,5年以上
支付风控总监,https://www.liepin.com/a/11981714.shtml,60-90万,"上海,成都,杭州",本科及以上,5年以上
风险策略分析师/专家--互金,https://www.liepin.com/a/11833174.shtml,40-70万,"上海,杭州",本科及以上,3年以上
大数据架构师,https://www.liepin.com/a/9839238.shtml,79-79万,"北京,杭州,上海",本科及以上,5年以上
贷后策略副总监,https://www.liepin.com/a/11754782.shtml,28-35万,"上海,杭州",本科及以上,3年以上
电商运营管理,https://www.liepin.com/a/11777335.shtml,15-45万,"杭州,上海,广州",本科及以上,3年以上
高级大数据工程师,https://www.liepin.com/a/11568815.shtml,20-30万,"上海,杭州",统招本科,3年以上
wms产品专家,https://www.liepin.com/a/11729591.shtml,40-65万,"北京,上海,杭州",统招本科,4年以上
新零售erp产品,https://www.liepin.com/a/11729602.shtml,40-60万,"北京,上海,杭州",统招本科,4年以上
资深数据研发,https://www.liepin.com/a/11334019.shtml,40-70万,"杭州,上海,北京",本科及以上,3年以上
用户运营专家,https://www.liepin.com/a/11539682.shtml,50-70万,"杭州,上海",本科及以上,3年以上
大数据BI分析师,https://www.liepin.com/job/1915627383.shtml,24-54万,杭州,本科及以上,3年以上
资深数据分析师/数据分析专家,https://www.liepin.com/job/1914893801.shtml,面议,杭州,统招本科,3年以上
数据分析师,https://www.liepin.com/job/1913431148.shtml,18-34万,杭州,本科及以上,3年以上
安全数据分析员,https://www.liepin.com/job/1915561486.shtml,面议,杭州-滨江区,本科及以上,3年以上
数据分析/财务分析,https://www.liepin.com/job/1913274682.shtml,6-12万,杭州,本科及以上,1年以上
智能数据分析算法工程师(000958),https://www.liepin.com/job/1915581966.shtml,面议,杭州-余杭区,硕士及以上,4年以上
数据分析师,https://www.liepin.com/job/1915568582.shtml,15-30万,杭州,统招本科,3年以上
数据分析专家,https://www.liepin.com/a/11053866.shtml,45-75万,"上海,北京,杭州",统招本科,3年以上
高级数据分析师,https://www.liepin.com/a/10889116.shtml,30-60万,"上海,北京,杭州",统招本科,3年以上
数据分析专家,https://www.liepin.com/a/12047446.shtml,40-60万,"杭州,上海",统招本科,5年以上
资深数据分析师,https://www.liepin.com/a/11019721.shtml,50-80万,"上海,杭州,北京",统招本科,3年以上
数据分析师,https://www.liepin.com/a/10903470.shtml,20-30万,"上海,北京,杭州",统招本科,2年以上
安全流量数据分析专家,https://www.liepin.com/a/12001416.shtml,55-85万,"北京,杭州,上海",统招本科,3年以上
合规数据分析专家,https://www.liepin.com/a/12000952.shtml,55-85万,"杭州,北京,上海",统招本科,3年以上
商业数据分析专家,https://www.liepin.com/a/11342177.shtml,50-80万,"上海,北京,杭州",本科及以上,5年以上
数据分析高级经理,https://www.liepin.com/a/11989666.shtml,50-80万,"北京,上海,杭州",本科及以上,5年以上
高级数据分析经理,https://www.liepin.com/a/11237079.shtml,80-110万,"北京,上海,杭州",统招本科,5年以上
数据分析总监,https://www.liepin.com/a/11259991.shtml,70-80万,"杭州,上海,北京",大专及以上,5年以上
运营数据分析主管,https://www.liepin.com/a/11961406.shtml,25-30万,"杭州,宁波,上海",学历不限,3年以上
数据分析,https://www.liepin.com/a/9398634.shtml,40-70万,"上海,杭州,北京",学历不限,5年以上
商业决策分析专家（数据分析）,https://www.liepin.com/a/11535324.shtml,40-70万,"杭州,上海,深圳",本科及以上,4年以上
游戏数据分析师,https://www.liepin.com/a/11910938.shtml,20-40万,"上海,广州,杭州",学历不限,2年以上
数据分析专家,https://www.liepin.com/a/11298932.shtml,45-75万,"杭州,上海",本科及以上,5年以上
数据分析,https://www.liepin.com/a/10143470.shtml,20-40万,"上海,深圳,杭州",统招本科,2年以上
数据分析专家,https://www.liepin.com/a/11874913.shtml,45-75万,"北京,上海,杭州",统招本科,3年以上
数据分析经理（EC）,https://www.liepin.com/a/11294370.shtml,20-30万,"上海,杭州,广州",学历不限,5年以上
资深数据分析师,https://www.liepin.com/a/11205802.shtml,30-40万,"上海,杭州,苏州",学历不限,3年以上
数据分析/商业分析,https://www.liepin.com/a/10239329.shtml,30-60万,"北京,上海,杭州",本科及以上,3年以上
数据分析师/数据分析员/数据分析,https://www.liepin.com/a/11861778.shtml,30-50万,"上海,杭州,北京",统招本科,3年以上
风险大数据分析-风控专家,https://www.liepin.com/a/11854143.shtml,30-50万,"上海,杭州",本科及以上,3年以上
数据分析经理/分析师,https://www.liepin.com/a/10750769.shtml,30-60万,"北京,上海,杭州",统招本科,3年以上
数据分析师,https://www.liepin.com/a/10622643.shtml,20-30万,"上海,杭州",本科及以上,2年以上
数据分析师,https://www.liepin.com/a/11827796.shtml,40-70万,"上海,杭州,北京",本科及以上,5年以上
数据-数据分析-业务分析,https://www.liepin.com/a/10603712.shtml,50-79万,"上海,杭州,北京",本科及以上,5年以上
BI数据分析经理/高级经理,https://www.liepin.com/a/11804408.shtml,25-55万,"上海,杭州",统招本科,3年以上
数据分析高级经理,https://www.liepin.com/a/11194119.shtml,20-30万,"杭州,北京,上海",大专及以上,5年以上
数据分析师,https://www.liepin.com/a/11700789.shtml,28-50万,"杭州,上海",本科及以上,2年以上
 数据分析总监,https://www.liepin.com/a/11770168.shtml,55-85万,"上海,杭州",本科及以上,3年以上
高级数据分析专家,https://www.liepin.com/a/11729159.shtml,40-70万,"杭州,上海,深圳",本科及以上,3年以上
数据分析专家,https://www.liepin.com/a/11697240.shtml,40-70万,"北京,杭州,上海",本科及以上,3年以上
体验运营,https://www.liepin.com/a/10594562.shtml,20-30万,"上海,杭州,成都",本科及以上,2年以上
小程序运营专家,https://www.liepin.com/a/11658548.shtml,30-50万,"杭州,上海,北京",大专及以上,6年以上
急聘区域运营总监,https://www.liepin.com/a/11634586.shtml,40-70万,"上海,北京,浙江省",大专及以上,5年以上
图形图像研究员,https://www.liepin.com/a/9603321.shtml,50-80万,"杭州,上海",硕士及以上,6年以上
ID61412商家运营专家,https://www.liepin.com/a/9670759.shtml,50-80万,"上海,北京,杭州",学历不限,3年以上
中台产品经理（CRM）,https://www.liepin.com/a/11552631.shtml,30-60万,"上海,杭州",统招本科,5年以上
数据产品经理,https://www.liepin.com/a/11539872.shtml,50-70万,"杭州,上海",本科及以上,3年以上
类目运营总监,https://www.liepin.com/a/11540356.shtml,50-80万,"杭州,北京,上海",统招本科,5年以上
商业分析专家-杭州/上海,https://www.liepin.com/a/11995342.shtml,26-40万,"上海,杭州",本科及以上,5年以上
高级财务分析经理,https://www.liepin.com/a/11336030.shtml,30-60万,"杭州,北京,上海",统招本科,7年以上
分析,https://www.liepin.com/a/11724057.shtml,30-60万,"北京,上海,杭州",学历不限,3年以上
集团CFO线-运营财务-BU财务专家（集团）,https://www.liepin.com/a/12052460.shtml,59-89万,"杭州,北京,上海",统招本科,7年以上
BI工程师,https://www.liepin.com/a/12018697.shtml,24-48万,"上海,北京,杭州",学历不限,2年以上
大数据平台开发专家/架构师,https://www.liepin.com/a/10394279.shtml,30-50万,"北京,上海,杭州",统招本科,5年以上
AI产品运营经理,https://www.liepin.com/a/11568743.shtml,20-30万,"上海,杭州",本科及以上,2年以上
市场专家（市场调研分析）,https://www.liepin.com/a/11341968.shtml,30-60万,"杭州,上海,北京",学历不限,5年以上
用户研究经理,https://www.liepin.com/a/11149178.shtml,30-40万,"苏州,杭州,上海",大专及以上,3年以上
服务方案设计,https://www.liepin.com/a/12025693.shtml,30-60万,"杭州,北京,上海",大专及以上,5年以上
运营分析师,https://www.liepin.com/a/10594286.shtml,30-50万,"杭州,上海,北京",本科及以上,3年以上
新媒体营销专家-人工智能,https://www.liepin.com/a/11158536.shtml,50-80万,"杭州,北京,上海",本科及以上,5年以上
运营经理,https://www.liepin.com/a/12056561.shtml,25-35万,"上海,杭州,南京",本科及以上,5年以上
数据挖掘工程师,https://www.liepin.com/a/11505219.shtml,30-60万,"上海,杭州,北京",统招本科,2年以上
大数据研究院职位,https://www.liepin.com/a/11297848.shtml,72-100万,"杭州,北京,上海",硕士及以上,5年以上
算法总监,https://www.liepin.com/a/12034602.shtml,72-100万,"上海,北京,杭州",统招本科,4年以上
模型总监（年薪100万+）,https://www.liepin.com/a/10161287.shtml,25-29万,"上海,杭州",统招本科,3年以上
运营经理/运营总监,https://www.liepin.com/a/11989445.shtml,50-80万,"杭州,上海,北京",统招本科,5年以上
ETL高级工程师,https://www.liepin.com/a/11972596.shtml,30-50万,"上海,北京,杭州",统招本科,3年以上
业务财务BP,https://www.liepin.com/a/11500754.shtml,80-110万,"北京,上海,杭州",统招本科,5年以上
大数据研发专家,https://www.liepin.com/a/11875044.shtml,40-69万,"北京,上海,杭州",统招本科,3年以上
客户体验运营专家,https://www.liepin.com/a/11800742.shtml,40-70万,"上海,北京,浙江省",本科及以上,4年以上
风控数据产品经理,https://www.liepin.com/a/11571155.shtml,40-70万,"杭州,上海",本科及以上,3年以上
类目运营经理,https://www.liepin.com/a/11559937.shtml,20-50万,"杭州,上海,北京",本科及以上,2年以上
运营总监,https://www.liepin.com/a/9269345.shtml,80-100万,"杭州,上海,南京",大专及以上,3年以上
舆情分析师,https://www.liepin.com/a/12020136.shtml,25-55万,"北京,上海,杭州",统招本科,5年以上
风险政策专家,https://www.liepin.com/a/12059426.shtml,60-90万,"杭州,上海",学历不限,5年以上
CAE主管工程师,https://www.liepin.com/a/12056643.shtml,30-50万,"芜湖,上海,杭州",统招本科,5年以上
行业运营高级专家,https://www.liepin.com/a/11165611.shtml,50-80万,"上海,北京,杭州",本科及以上,5年以上
店长,https://www.liepin.com/a/12055666.shtml,20-40万,"北京,上海,杭州",学历不限,3年以上
销售经理,https://www.liepin.com/a/10778865.shtml,35-50万,"北京,上海,杭州",本科及以上,4年以上
用户运营,https://www.liepin.com/a/12050864.shtml,30-60万,"上海,北京,杭州",统招本科,3年以上
大数据BI分析师,https://www.liepin.com/job/1915627383.shtml,24-54万,杭州,本科及以上,3年以上
资深数据分析师/数据分析专家,https://www.liepin.com/job/1914893801.shtml,面议,杭州,统招本科,3年以上
安全数据分析员,https://www.liepin.com/job/1915561486.shtml,面议,杭州-滨江区,本科及以上,3年以上
